KIERON POLLAD T20 PERFORMACE BY YEAR,,,,,,,,
,,,,,,,,
year,versus ,RUNS,BALL FACED,4S,6S,HOW DISMISSED,50 OR NOT,winning  team
2008,New Zealand,7,5,0,1,CATCH OUT,NO,west indies
2008,New Zealand,38,24,4,2,CATCH OUT,NO,new zealand
2009,England,4,1,1,0,NOT OUT,NO,west indies
2009,Sri Lanka,19,11,3,0,NOT OUT,NO,sri lanka
2009,South Africa,6,4,1,0,CATCH OUT,NO,south africa
2009,England,9,6,0,1,BOWLED,NO,west indies
2009, Sri Lanka,3,10,0,0,STUMP,NO,sri lanka
2010,Australia,12,9,2,0,CATCH OUT,NO,australia
2010,Australia,5,9,0,0,BOWLED,NO,australia
2010,Zimbabwe,1,4,0,0,BOWLED,NO,zimbabwe
2010,Ireland,8,6,1,0,CATCH OUT,NO,west indies
2010,Sri Lanka,9,10,1,0,CATCH OUT,NO,sri lanka
2010,India,17,11,0,2,CATCH OUT,NO,india
2010, Australia,13,14,1,1,STUMP,NO,australia
2010,South Africa,27,17,2,1,BOWLED,NO,south africa
2010,South Africa,12,13,1,0,CATCH OUT,NO,south africa
2012,Australia,54,26,2,5,NOT OUT,YES,australia
2012,Australia,1,3,0,0,CATCH OUT,NO,west indies
2012,England,23,13,1,2,NOT OUT,NO,england
2012,New Zealand,63,29,5,5,CATCH OUT,YES,west indies
2012,Australia,10,8,2,0,CATCH OUT,NO,australia
2012,England,1,5,0,0,BOWLED,NO,west indies
2012,Sri Lanka,1,6,0,0,BOWLED,NO,sri lanka
2012,New Zealand,28,22,3,0,CATCH OUT,NO,west indies
2012,Australia,38,15,3,3,CATCH OUT,NO,west indies
2012,Sri Lanka,2,4,0,0,CATCH OUT,NO,west indies
2012,Bangladesh,15,9,0,2,BOWLED,NO,west indies
2019,India,49,49,2,4,LBW,NO,west indies
2019,India,8,8,1,0,NOT OUT,NO,india
2019,India,58,45,1,6,BOWLED,YES,india
2019,Afghanistan,32,22,2,1,NOT OUT,NO,west indies
2019,Afghanistan,7,7,1,0,LBW,NO,Afghanistan
2019,Afghanistan,11,12,0,0,CATCH OUT,NO,Afghanistan
2019,India,37,19,1,4,BOWLED,NO,india
2019,India,68,39,5,6,CATCH OUT,YES,india
2017,Pakistan,14,27,1,0,CATCH OUT,NO,pakistan
2017,Pakistan,3,4,0,0,STUMP,NO,pakistan
2017,Pakistan,3,6,0,0,BOWLED,NO,pakistan
2017,England,6,7,1,0,CATCH OUT,NO,west indies
2015,South Africa,8,9,1,0,NOT OUT,NO,west indies
2015,South Africa,7,5,1,0,CATCH OUT,NO,west indies
2015,South Africa,20,23,0,0,NOT OUT,NO,south africa
2015,Sri Lanka,26,18,2,2,CATCH OUT,NO,sri lanka
2015,Sri Lanka,5,4,0,0,BOWLED,NO,england
2016,India,22,15,0,2,BOWLED,NO,west indies
2016,India,13,8,1,1,LBW,NO,cancel due to rain
2016,Pakistan,9,17,0,0,BOWLED,NO,pakistan
2016,Pakistan,18,13,2,0,CATCH OUT,NO,pakistan
2016,Pakistan,16,17,0,0,NOT OUT,NO,pakistan
2020,Ireland,31,15,1,3,CATCH OUT,NO,ireland
